id,cluster
train_472,12
train_473,11
train_474,10
train_475,7
train_476,13
train_477,4
train_478,10
train_479,13
train_480,10
train_481,17
train_482,7
train_483,16
train_484,10
train_485,19
train_486,3
train_487,0
train_488,2
train_489,19
train_490,12
train_491,16
train_492,10
train_493,12
train_494,1
train_495,3
train_496,2
train_497,11
train_498,11
train_499,5
train_500,9
train_501,15
train_502,10
train_503,19
train_504,9
train_505,19
train_506,7
train_507,0
train_508,13
train_509,12
train_510,8
train_511,13
train_512,13
train_513,2
train_514,15
train_515,13
train_516,19
train_517,10
train_518,10
train_519,2
train_520,10
train_521,14
train_522,11
train_523,18
train_524,11
train_525,2
train_526,13
train_527,1
train_528,19
train_529,19
train_530,8
train_531,12
train_532,13
train_533,3
train_534,11
train_535,19
train_536,10
train_537,13
train_538,15
train_539,17
train_540,2
train_541,2
train_542,17
train_543,7
train_544,19
train_545,11
train_546,4
train_547,19
train_548,3
train_549,10
train_550,10
train_551,15
train_552,13
train_553,15
train_554,4
train_555,4
train_556,13
train_557,13
train_558,13
train_559,11
train_560,11
train_561,11
train_562,11
train_563,4
train_564,13
train_565,12
train_566,11
train_567,8
train_568,0
train_569,5
train_570,10
train_571,7
train_572,1
train_573,1
train_574,8
train_575,19
train_576,4
train_577,19
train_578,1
train_579,13
train_580,16
train_581,13
train_582,19
train_583,5
train_584,19
train_585,11
train_586,15
train_587,13
train_588,17
train_589,4
train_590,3
train_591,13
train_592,13
train_593,8
train_594,14
train_595,8
train_596,13
train_597,10
train_598,4
train_599,9
train_600,4
train_601,3
train_602,1
train_603,13
train_604,13
train_605,15
train_606,4
train_607,17
train_608,4
train_609,8
train_610,10
train_611,0
train_612,10
train_613,2
train_614,13
train_615,1
train_616,14
train_617,10
train_618,13
train_619,13
train_620,3
train_621,5
train_622,13
train_623,19
train_624,1
train_625,1
train_626,9
train_627,9
train_628,1
train_629,13
train_630,13
train_631,10
train_632,9
train_633,5
train_634,2
train_635,13
train_636,13
train_637,2
train_638,13
train_639,13
train_640,7
train_641,4
train_642,17
train_643,7
train_644,9
train_645,10
train_646,10
train_647,10
train_648,19
train_649,13
train_650,14
train_651,13
train_652,13
train_653,2
train_654,4
train_655,13
train_656,15
train_657,3
train_658,8
train_659,10
train_660,2
train_661,13
train_662,7
train_663,0
train_664,12
train_665,13
train_666,1
train_667,11
train_668,15
train_669,13
train_670,10
train_671,2
train_672,17
train_673,9
train_674,10
train_675,11
train_676,4
train_677,13
train_678,12
train_679,1
train_680,7
train_681,7
train_682,18
train_683,5
train_684,13
train_685,6
train_686,2
train_687,8
train_688,0
train_689,2
train_690,5
train_691,13
train_692,12
train_693,2
train_694,11
train_695,15
train_696,17
train_697,19
train_698,12
train_699,17
train_700,19
train_701,11
train_702,2
train_703,18
train_704,7
train_705,3
train_706,12
train_707,4
train_708,7
train_709,19
train_710,12
train_711,19
train_712,14
train_713,17
train_714,0
train_715,17
train_716,7
train_717,13
train_718,13
train_719,5
train_720,7
train_721,0
train_722,9
train_723,8
train_724,12
train_725,11
train_726,10
train_727,2
train_728,12
train_729,17
train_730,17
train_731,13
train_732,13
train_733,19
train_734,19
train_735,2
train_736,2
train_737,17
train_738,3
train_739,1
train_740,12
train_741,18
train_742,13
train_743,0
train_744,11
train_745,1
train_746,4
train_747,0
train_748,7
train_749,12
train_750,5
train_751,17
train_752,15
train_753,13
train_754,5
train_755,8
train_756,1
train_757,17
train_758,15
train_759,10
train_760,2
train_761,19
train_762,10
train_763,1
train_764,13
train_765,1
train_766,19
train_767,18
train_768,12
train_769,13
train_770,19
train_771,3
train_772,2
train_773,5
train_774,7
train_775,13
train_776,17
train_777,8
train_778,4
train_779,16
train_780,3
train_781,11
train_782,13
train_783,13
train_784,13
train_785,10
train_786,10
train_787,10
train_788,8
train_789,2
train_790,2
train_791,13
train_792,13
train_793,17
train_794,13
train_795,13
train_796,17
train_797,10
train_798,1
train_799,10
train_800,17
train_801,13
train_802,8
train_803,10
train_804,13
train_805,13
train_806,9
train_807,9
train_808,13
train_809,13
train_810,10
train_811,12
train_812,6
train_813,15
train_814,13
train_815,17
train_816,6
train_817,13
train_818,10
train_819,1
train_820,1
train_821,4
train_822,19
train_823,17
train_824,13
train_825,19
train_826,9
train_827,15
train_828,10
train_829,2
train_830,19
train_831,4
train_832,14
train_833,11
train_834,13
train_835,9
train_836,8
train_837,15
train_838,13
train_839,2
train_840,13
train_841,2
train_842,7
train_843,10
train_844,14
train_845,3
train_846,7
train_847,10
train_848,17
train_849,13
train_850,6
train_851,18
train_852,5
train_853,14
train_854,5
train_855,3
train_856,0
train_857,18
train_858,19
train_859,13
train_860,16
train_861,5
train_862,13
train_863,10
train_864,16
train_865,17
train_866,16
train_867,15
train_868,16
train_869,12
train_870,11
train_871,8
train_872,16
train_873,6
train_874,19
train_875,13
train_876,2
train_877,18
train_878,15
train_879,0
train_880,11
train_881,17
train_882,19
train_883,10
train_884,11
train_885,2
train_886,10
train_887,2
train_888,0
train_889,13
train_890,2
train_891,2
train_892,12
train_893,2
train_894,13
train_895,13
train_896,15
train_897,6
train_898,10
train_899,6
train_900,17
train_901,13
train_902,10
train_903,13
train_904,19
train_905,19
train_906,1
train_907,2
train_908,7
train_909,1
train_910,12
train_911,13
train_912,10
train_913,12
train_914,2
train_915,13
train_916,9
train_917,10
train_918,13
train_919,5
train_920,11
train_921,11
train_922,13
train_923,15
train_924,13
train_925,13
train_926,10
train_927,13
train_928,13
train_929,13
train_930,11
train_931,7
train_932,3
train_933,12
train_934,8
train_935,12
train_936,0
train_937,9
train_938,2
train_939,12
train_940,15
train_941,7
train_942,2
train_943,15
train_944,12
train_945,1
train_946,17
train_947,13
train_948,15
train_949,17
train_950,17
train_951,11
train_952,2
train_953,16
train_954,11
train_955,13
train_956,19
train_957,13
train_958,13
train_959,8
train_960,12
train_961,11
train_962,2
train_963,19
train_964,2
train_965,17
train_966,7
train_967,2
train_968,10
train_969,15
train_970,15
train_971,18
train_972,8
train_973,10
train_974,2
train_975,16
train_976,13
train_977,16
train_978,15
train_979,10
train_980,16
train_981,1
train_982,13
train_983,12
train_984,13
train_985,15
train_986,19
train_987,15
train_988,10
train_989,10
train_990,13
train_991,17
train_992,10
train_993,7
train_994,2
train_995,3
train_996,11
train_997,2
train_998,6
train_999,8
train_1000,2
train_1001,3
train_1002,8
train_1003,17
train_1004,13
train_1005,13
train_1006,4
train_1007,5
train_1008,5
train_1009,8
train_1010,2
train_1011,7
train_1012,15
train_1013,13
train_1014,17
train_1015,4
train_1016,13
train_1017,11
train_1018,19
train_1019,17
train_1020,10
train_1021,8
train_1022,1
train_1023,15
train_1024,19
train_1025,7
train_1026,0
train_1027,15
train_1028,10
train_1029,17
train_1030,13
train_1031,13
train_1032,19
train_1033,11
train_1034,10
train_1035,13
train_1036,10
train_1037,3
train_1038,10
train_1039,8
train_1040,17
train_1041,5
train_1042,10
train_1043,18
train_1044,16
train_1045,13
train_1046,0
train_1047,13
train_1048,13
train_1049,16
train_1050,6
train_1051,10
train_1052,3
train_1053,13
train_1054,7
train_1055,19
train_1056,4
train_1057,18
train_1058,11
train_1059,18
train_1060,8
train_1061,3
train_1062,0
train_1063,18
train_1064,8
train_1065,10
train_1066,13
train_1067,15
train_1068,10
train_1069,9
train_1070,17
train_1071,3
train_1072,15
train_1073,9
train_1074,5
train_1075,9
train_1076,12
train_1077,7
train_1078,13
train_1079,2
train_1080,10
train_1081,16
train_1082,19
train_1083,7
train_1084,12
train_1085,11
train_1086,13
train_1087,13
train_1088,6
train_1089,2
train_1090,18
train_1091,17
train_1092,10
train_1093,18
train_1094,16
train_1095,6
train_1096,15
train_1097,8
train_1098,13
train_1099,16
train_1100,10
train_1101,13
train_1102,15
train_1103,9
train_1104,10
train_1105,10
train_1106,4
train_1107,10
train_1108,18
train_1109,10
train_1110,15
train_1111,7
train_1112,10
train_1113,13
train_1114,2
train_1115,19
train_1116,19
train_1117,10
train_1118,13
train_1119,15
train_1120,19
train_1121,13
train_1122,1
train_1123,13
train_1124,2
train_1125,11
train_1126,13
train_1127,10
train_1128,15
train_1129,10
train_1130,9
train_1131,1
train_1132,3
train_1133,9
train_1134,14
train_1135,10
train_1136,2
train_1137,12
train_1138,17
train_1139,7
train_1140,10
train_1141,17
train_1142,12
train_1143,10
train_1144,10
train_1145,18
train_1146,1
train_1147,11
train_1148,2
train_1149,13
train_1150,18
train_1151,3
train_1152,12
train_1153,3
train_1154,17
train_1155,7
train_1156,3
train_1157,2
train_1158,7
train_1159,9
train_1160,18
train_1161,10
train_1162,15
train_1163,17
train_1164,0
train_1165,7
train_1166,2
train_1167,19
train_1168,19
train_1169,3
train_1170,0
train_1171,19
train_1172,13
train_1173,19
train_1174,15
train_1175,7
train_1176,15
train_1177,8
train_1178,2
train_1179,10
train_1180,19
train_1181,15
train_1182,13
train_1183,19
train_1184,19
train_1185,3
train_1186,13
train_1187,1
train_1188,5
train_1189,13
train_1190,13
train_1191,13
train_1192,16
train_1193,1
train_1194,15
train_1195,13
train_1196,10
train_1197,13
train_1198,12
train_1199,13
train_1200,2
train_1201,1
train_1202,13
train_1203,15
train_1204,12
train_1205,12
train_1206,8
train_1207,9
train_1208,1
train_1209,17
train_1210,15
train_1211,2
train_1212,19
train_1213,13
train_1214,4
train_1215,3
train_1216,12
train_1217,17
train_1218,18
train_1219,1
train_1220,7
train_1221,17
train_1222,3
train_1223,13
train_1224,15
train_1225,15
train_1226,6
train_1227,8
train_1228,19
train_1229,7
train_1230,11
train_1231,5
train_1232,10
train_1233,17
train_1234,7
train_1235,19
train_1236,10
train_1237,13
train_1238,10
train_1239,19
train_1240,15
train_1241,13
train_1242,0
train_1243,10
train_1244,10
train_1245,2
train_1246,1
train_1247,17
train_1248,19
train_1249,12
train_1250,17
train_1251,7
train_1252,8
train_1253,17
train_1254,5
train_1255,3
train_1256,1
train_1257,13
train_1258,4
train_1259,2
train_1260,7
train_1261,10
train_1262,18
train_1263,7
train_1264,6
train_1265,7
train_1266,7
train_1267,13
train_1268,7
train_1269,2
train_1270,8
train_1271,14
train_1272,7
train_1273,13
train_1274,2
train_1275,2
train_1276,15
train_1277,8
train_1278,15
train_1279,8
train_1280,12
train_1281,15
train_1282,19
train_1283,10
train_1284,15
train_1285,1
train_1286,13
train_1287,3
train_1288,5
train_1289,13
train_1290,10
train_1291,4
train_1292,3
train_1293,13
train_1294,7
train_1295,19
train_1296,2
train_1297,6
train_1298,18
train_1299,13
train_1300,9
train_1301,8
train_1302,10
train_1303,12
train_1304,13
train_1305,11
train_1306,16
train_1307,11
train_1308,16
train_1309,13
train_1310,16
train_1311,11
train_1312,2
train_1313,15
train_1314,3
train_1315,16
train_1316,8
train_1317,17
train_1318,15
train_1319,7
train_1320,5
train_1321,8
train_1322,16
train_1323,11
train_1324,15
train_1325,19
train_1326,4
train_1327,16
train_1328,13
train_1329,16
train_1330,8
train_1331,13
train_1332,18
train_1333,12
train_1334,12
train_1335,3
train_1336,13
train_1337,17
train_1338,10
train_1339,1
train_1340,8
train_1341,15
train_1342,16
train_1343,13
train_1344,18
train_1345,11
train_1346,14
train_1347,17
train_1348,18
train_1349,10
train_1350,19
train_1351,15
train_1352,13
train_1353,15
train_1354,3
train_1355,13
train_1356,17
train_1357,6
train_1358,10
train_1359,9
train_1360,10
train_1361,13
train_1362,13
train_1363,17
train_1364,10
train_1365,10
train_1366,9
train_1367,11
train_1368,11
train_1369,10
train_1370,2
train_1371,13
train_1372,10
train_1373,10
train_1374,11
train_1375,10
train_1376,19
train_1377,13
train_1378,8
train_1379,2
train_1380,10
train_1381,10
train_1382,11
train_1383,3
train_1384,16
train_1385,7
train_1386,19
train_1387,12
train_1388,16
train_1389,13
train_1390,3
train_1391,10
train_1392,5
train_1393,19
train_1394,10
train_1395,18
train_1396,8
train_1397,19
train_1398,12
train_1399,15
train_1400,19
train_1401,17
train_1402,2
train_1403,2
train_1404,13
train_1405,13
train_1406,1
train_1407,7
train_1408,10
train_1409,8
train_1410,7
train_1411,2
train_1412,15
train_1413,9
train_1414,13
train_1415,12
train_1416,19
train_1417,13
train_1418,2
train_1419,10
train_1420,19
train_1421,15
train_1422,17
train_1423,19
train_1424,13
train_1425,15
train_1426,2
train_1427,13
train_1428,1
train_1429,9
train_1430,12
train_1431,1
train_1432,4
train_1433,10
train_1434,13
train_1435,12
train_1436,10
train_1437,10
train_1438,10
train_1439,1
train_1440,12
train_1441,1
train_1442,1
train_1443,3
train_1444,15
train_1445,8
train_1446,19
train_1447,13
train_1448,12
train_1449,0
train_1450,13
train_1451,10
train_1452,10
train_1453,3
train_1454,7
train_1455,13
train_1456,0
train_1457,1
train_1458,7
train_1459,13
train_1460,0
train_1461,13
train_1462,2
train_1463,13
train_1464,13
train_1465,13
train_1466,5
train_1467,12
train_1468,10
train_1469,15
train_1470,7
train_1471,13
train_1472,15
train_1473,13
train_1474,17
train_1475,9
train_1476,13
train_1477,16
train_1478,7
train_1479,13
train_1480,12
train_1481,14
train_1482,19
train_1483,17
train_1484,12
train_1485,1
train_1486,13
train_1487,19
train_1488,10
train_1489,4
train_1490,10
train_1491,13
train_1492,12
train_1493,19
train_1494,2
train_1495,17
train_1496,17
train_1497,10
train_1498,15
train_1499,10
train_1500,5
train_1501,1
train_1502,3
train_1503,19
train_1504,13
train_1505,13
train_1506,8
train_1507,8
train_1508,3
train_1509,7
train_1510,15
train_1511,18
train_1512,10
train_1513,18
train_1514,13
train_1515,0
train_1516,13
train_1517,8
train_1518,9
train_1519,15
train_1520,10
train_1521,5
train_1522,8
train_1523,4
train_1524,0
train_1525,17
train_1526,3
train_1527,3
train_1528,16
train_1529,9
train_1530,0
train_1531,11
train_1532,19
train_1533,1
train_1534,11
train_1535,8
train_1536,18
train_1537,7
train_1538,19
train_1539,19
train_1540,12
train_1541,2
train_1542,5
train_1543,16
train_1544,2
train_1545,13
train_1546,19
train_1547,19
train_1548,10
train_1549,5
train_1550,7
train_1551,8
train_1552,4
train_1553,13
train_1554,11
train_1555,3
train_1556,12
train_1557,13
train_1558,19
train_1559,13
train_1560,7
train_1561,19
train_1562,2
train_1563,13
train_1564,0
train_1565,13
train_1566,3
train_1567,4
train_1568,3
train_1569,17
train_1570,14
train_1571,8
train_1572,8
train_1573,19
train_1574,1
train_1575,9
train_1576,9
train_1577,1
train_1578,13
train_1579,4
train_1580,7
train_1581,13
train_1582,4
train_1583,10
train_1584,9
train_1585,9
train_1586,12
train_1587,12
train_1588,12
train_1589,8
train_1590,1
train_1591,10
train_1592,19
train_1593,11
train_1594,9
train_1595,3
train_1596,4
train_1597,7
train_1598,1
train_1599,4
train_1600,11
train_1601,16
train_1602,2
train_1603,13
train_1604,12
train_1605,18
train_1606,13
train_1607,13
train_1608,13
train_1609,18
train_1610,7
train_1611,10
train_1612,0
train_1613,17
train_1614,9
train_1615,2
train_1616,12
train_1617,12
train_1618,10
train_1619,2
train_1620,4
train_1621,13
train_1622,6
train_1623,17
train_1624,6
train_1625,2
train_1626,2
train_1627,16
train_1628,15
train_1629,4
train_1630,7
train_1631,16
train_1632,5
train_1633,5
train_1634,8
train_1635,1
train_1636,2
train_1637,2
train_1638,15
train_1639,19
train_1640,13
train_1641,19
train_1642,12
train_1643,5
train_1644,13
train_1645,7
train_1646,5
train_1647,1
train_1648,19
train_1649,15
train_1650,7
train_1651,18
train_1652,7
train_1653,15
train_1654,9
train_1655,7
train_1656,7
train_1657,13
train_1658,18
train_1659,15
train_1660,9
train_1661,12
train_1662,12
train_1663,18
train_1664,12
train_1665,15
train_1666,1
train_1667,2
train_1668,7
train_1669,17
train_1670,8
train_1671,11
train_1672,15
train_1673,2
train_1674,19
train_1675,4
train_1676,18
train_1677,4
train_1678,19
train_1679,13
train_1680,4
train_1681,1
train_1682,10
train_1683,2
train_1684,13
train_1685,5
train_1686,13
train_1687,0
train_1688,13
train_1689,7
train_1690,1
train_1691,1
train_1692,13
train_1693,1
train_1694,1
train_1695,13
train_1696,10
train_1697,13
train_1698,9
train_1699,15
train_1700,10
train_1701,3
train_1702,10
train_1703,15
train_1704,0
train_1705,10
train_1706,18
train_1707,1
train_1708,2
train_1709,13
train_1710,13
train_1711,7
train_1712,13
train_1713,17
train_1714,5
train_1715,13
train_1716,13
train_1717,4
train_1718,2
train_1719,16
train_1720,4
train_1721,13
train_1722,7
train_1723,8
train_1724,0
train_1725,7
train_1726,10
train_1727,8
train_1728,4
train_1729,11
train_1730,13
train_1731,10
train_1732,10
train_1733,17
train_1734,1
train_1735,13
train_1736,10
train_1737,10
train_1738,13
train_1739,10
train_1740,13
train_1741,13
train_1742,13
train_1743,10
train_1744,18
train_1745,10
train_1746,19
train_1747,10
train_1748,10
train_1749,3
train_1750,10
train_1751,10
train_1752,13
train_1753,13
train_1754,10
train_1755,17
train_1756,4
train_1757,10
train_1758,15
train_1759,13
train_1760,10
train_1761,4
train_1762,12
train_1763,1
train_1764,10
train_1765,10
train_1766,10
train_1767,10
train_1768,13
train_1769,19
train_1770,3
train_1771,10
train_1772,9
train_1773,10
train_1774,10
train_1775,3
train_1776,4
train_1777,10
train_1778,10
train_1779,7
train_1780,6
train_1781,10
train_1782,7
train_1783,5
train_1784,19
train_1785,13
train_1786,12
train_1787,15
train_1788,1
train_1789,13
train_1790,13
train_1791,2
train_1792,9
train_1793,4
train_1794,17
train_1795,18
train_1796,2
train_1797,12
train_1798,12
train_1799,10
train_1800,6
train_1801,15
train_1802,6
train_1803,10
train_1804,10
train_1805,19
train_1806,2
train_1807,12
train_1808,13
train_1809,17
train_1810,13
train_1811,2
train_1812,17
train_1813,10
train_1814,4
train_1815,6
train_1816,18
train_1817,10
train_1818,2
train_1819,12
train_1820,12
train_1821,12
train_1822,10
train_1823,10
train_1824,16
train_1825,15
train_1826,17
train_1827,13
train_1828,18
train_1829,17
train_1830,2
train_1831,16
train_1832,2
train_1833,13
train_1834,7
train_1835,5
train_1836,14
train_1837,17
train_1838,16
train_1839,7
train_1840,4
train_1841,10
train_1842,8
train_1843,16
train_1844,10
train_1845,10
train_1846,16
train_1847,7
train_1848,6
train_1849,13
train_1850,16
train_1851,9
train_1852,10
train_1853,14
train_1854,0
train_1855,18
train_1856,8
train_1857,13
train_1858,8
train_1859,16
train_1860,10
train_1861,16
train_1862,16
train_1863,3
train_1864,16
train_1865,16
train_1866,2
train_1867,2
train_1868,18
train_1869,10
train_1870,13
train_1871,15
train_1872,10
train_1873,17
train_1874,10
train_1875,15
train_1876,2
train_1877,16
train_1878,13
train_1879,13
train_1880,12
train_1881,11
train_1882,13
train_1883,11
train_1884,4
train_1885,7
train_1886,16
train_1887,2
train_1888,13
train_1889,17
train_1890,10
train_1891,18
train_1892,12
train_1893,10
train_1894,17
train_1895,10
train_1896,18
train_1897,19
train_1898,10
train_1899,4
train_1900,9
train_1901,13
train_1902,17
train_1903,18
train_1904,13
train_1905,9
train_1906,18
train_1907,7
train_1908,3
train_1909,19
train_1910,5
train_1911,19
train_1912,5
train_1913,11
train_1914,10
train_1915,13
train_1916,11
train_1917,10
train_1918,3
train_1919,4
train_1920,3
train_1921,19
train_1922,17
train_1923,13
train_1924,10
train_1925,19
train_1926,14
train_1927,7
train_1928,7
train_1929,11
train_1930,16
train_1931,18
train_1932,7
train_1933,5
train_1934,9
train_1935,13
train_1936,13
train_1937,16
train_1938,10
train_1939,9
train_1940,15
train_1941,17
train_1942,7
train_1943,10
train_1944,14
train_1945,0
train_1946,16
train_1947,19
train_1948,3
train_1949,12
train_1950,16
train_1951,10
train_1952,8
train_1953,10
train_1954,2
train_1955,2
train_1956,4
train_1957,3
train_1958,19
train_1959,0
train_1960,19
train_1961,13
train_1962,2
train_1963,4
train_1964,5
train_1965,3
train_1966,13
train_1967,10
train_1968,13
train_1969,13
train_1970,16
train_1971,13
train_1972,14
train_1973,12
train_1974,10
train_1975,13
train_1976,7
train_1977,10
train_1978,7
train_1979,2
train_1980,0
train_1981,10
train_1982,5
train_1983,2
train_1984,0
train_1985,10
train_1986,2
train_1987,15
train_1988,9
train_1989,8
train_1990,13
train_1991,16
train_1992,10
train_1993,10
train_1994,8
train_1995,10
train_1996,13
train_1997,6
train_1998,2
train_1999,13
train_2000,15
train_2001,10
train_2002,16
train_2003,13
train_2004,7
train_2005,7
train_2006,16
train_2007,7
train_2008,16
train_2009,2
train_2010,4
train_2011,13
train_2012,13
train_2013,8
train_2014,8
train_2015,4
train_2016,10
train_2017,9
train_2018,11
train_2019,12
train_2020,18
train_2021,12
train_2022,17
train_2023,15
train_2024,15
train_2025,13
train_2026,13
train_2027,1
train_2028,10
train_2029,18
train_2030,8
train_2031,15
train_2032,17
train_2033,13
train_2034,13
train_2035,10
train_2036,8
train_2037,13
train_2038,12
train_2039,7
train_2040,17
train_2041,15
train_2042,12
train_2043,12
train_2044,2
train_2045,10
train_2046,13
train_2047,10
train_2048,14
train_2049,13
train_2050,14
train_2051,3
train_2052,9
train_2053,1
train_2054,13
train_2055,11
train_2056,11
train_2057,1
train_2058,5
train_2059,13
train_2060,3
train_2061,4
train_2062,3
train_2063,10
train_2064,13
train_2065,13
train_2066,13
train_2067,9
train_2068,10
train_2069,19
train_2070,15
train_2071,1
train_2072,11
train_2073,13
train_2074,15
train_2075,10
train_2076,17
train_2077,4
train_2078,2
train_2079,10
train_2080,10
train_2081,10
train_2082,14
train_2083,19
train_2084,12
train_2085,10
train_2086,13
train_2087,13
train_2088,1
train_2089,13
train_2090,19
train_2091,13
train_2092,15
train_2093,13
train_2094,1
train_2095,1
train_2096,7
train_2097,13
train_2098,2
train_2099,11
train_2100,4
train_2101,12
train_2102,7
train_2103,10
train_2104,2
train_2105,1
train_2106,13
train_2107,3
train_2108,11
train_2109,10
train_2110,3
train_2111,4
train_2112,1
train_2113,13
train_2114,8
train_2115,17
train_2116,16
train_2117,13
train_2118,19
train_2119,13
train_2120,11
train_2121,13
train_2122,3
train_2123,19
train_2124,4
train_2125,1
train_2126,4
train_2127,18
train_2128,1
train_2129,16
train_2130,5
train_2131,8
train_2132,9
train_2133,18
train_2134,16
train_2135,13
train_2136,3
train_2137,12
train_2138,19
train_2139,2
train_2140,0
